index,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,1,39.1,18.7,181,3750,2
1,1,39.5,17.4,186,3800,1
2,1,40.3,18.0,195,3250,1
4,1,36.7,19.3,193,3450,1
5,1,39.3,20.6,190,3650,2
6,1,38.9,17.8,181,3625,1
7,1,39.2,19.6,195,4675,2
12,1,41.1,17.6,182,3200,1
13,1,38.6,21.2,191,3800,2
14,1,34.6,21.1,198,4400,2
15,1,36.6,17.8,185,3700,1
16,1,38.7,19.0,195,3450,1
17,1,42.5,20.7,197,4500,2
18,1,34.4,18.4,184,3325,1
19,1,46.0,21.5,194,4200,2
20,1,37.8,18.3,174,3400,1
21,1,37.7,18.7,180,3600,2
22,1,35.9,19.2,189,3800,1
23,1,38.2,18.1,185,3950,2
24,1,38.8,17.2,180,3800,2
25,1,35.3,18.9,187,3800,1
26,1,40.6,18.6,183,3550,2
27,1,40.5,17.9,187,3200,1
28,1,37.9,18.6,172,3150,1
29,1,40.5,18.9,180,3950,2
30,1,39.5,16.7,178,3250,1
31,1,37.2,18.1,178,3900,2
32,1,39.5,17.8,188,3300,1
33,1,40.9,18.9,184,3900,2
34,1,36.4,17.0,195,3325,1
35,1,39.2,21.1,196,4150,2
36,1,38.8,20.0,190,3950,2
37,1,42.2,18.5,180,3550,1
38,1,37.6,19.3,181,3300,1
39,1,39.8,19.1,184,4650,2
40,1,36.5,18.0,182,3150,1
41,1,40.8,18.4,195,3900,2
42,1,36.0,18.5,186,3100,1
43,1,44.1,19.7,196,4400,2
44,1,37.0,16.9,185,3000,1
45,1,39.6,18.8,190,4600,2
46,1,41.1,19.0,182,3425,2
48,1,36.0,17.9,190,3450,1
49,1,42.3,21.2,191,4150,2
50,1,39.6,17.7,186,3500,1
51,1,40.1,18.9,188,4300,2
52,1,35.0,17.9,190,3450,1
53,1,42.0,19.5,200,4050,2
54,1,34.5,18.1,187,2900,1
55,1,41.4,18.6,191,3700,2
56,1,39.0,17.5,186,3550,1
57,1,40.6,18.8,193,3800,2
58,1,36.5,16.6,181,2850,1
59,1,37.6,19.1,194,3750,2
60,1,35.7,16.9,185,3150,1
61,1,41.3,21.1,195,4400,2
62,1,37.6,17.0,185,3600,1
63,1,41.1,18.2,192,4050,2
64,1,36.4,17.1,184,2850,1
65,1,41.6,18.0,192,3950,2
66,1,35.5,16.2,195,3350,1
67,1,41.1,19.1,188,4100,2
68,1,35.9,16.6,190,3050,1
69,1,41.8,19.4,198,4450,2
70,1,33.5,19.0,190,3600,1
71,1,39.7,18.4,190,3900,2
72,1,39.6,17.2,196,3550,1
73,1,45.8,18.9,197,4150,2
74,1,35.5,17.5,190,3700,1
75,1,42.8,18.5,195,4250,2
76,1,40.9,16.8,191,3700,1
77,1,37.2,19.4,184,3900,2
78,1,36.2,16.1,187,3550,1
79,1,42.1,19.1,195,4000,2
80,1,34.6,17.2,189,3200,1
81,1,42.9,17.6,196,4700,2
82,1,36.7,18.8,187,3800,1
83,1,35.1,19.4,193,4200,2
84,1,37.3,17.8,191,3350,1
85,1,41.3,20.3,194,3550,2
86,1,36.3,19.5,190,3800,2
87,1,36.9,18.6,189,3500,1
88,1,38.3,19.2,189,3950,2
89,1,38.9,18.8,190,3600,1
90,1,35.7,18.0,202,3550,1
91,1,41.1,18.1,205,4300,2
92,1,34.0,17.1,185,3400,1
93,1,39.6,18.1,186,4450,2
94,1,36.2,17.3,187,3300,1
95,1,40.8,18.9,208,4300,2
96,1,38.1,18.6,190,3700,1
97,1,40.3,18.5,196,4350,2
98,1,33.1,16.1,178,2900,1
99,1,43.2,18.5,192,4100,2
100,1,35.0,17.9,192,3725,1
101,1,41.0,20.0,203,4725,2
102,1,37.7,16.0,183,3075,1
103,1,37.8,20.0,190,4250,2
104,1,37.9,18.6,193,2925,1
105,1,39.7,18.9,184,3550,2
106,1,38.6,17.2,199,3750,1
107,1,38.2,20.0,190,3900,2
108,1,38.1,17.0,181,3175,1
109,1,43.2,19.0,197,4775,2
110,1,38.1,16.5,198,3825,1
111,1,45.6,20.3,191,4600,2
112,1,39.7,17.7,193,3200,1
113,1,42.2,19.5,197,4275,2
114,1,39.6,20.7,191,3900,1
115,1,42.7,18.3,196,4075,2
116,1,38.6,17.0,188,2900,1
117,1,37.3,20.5,199,3775,2
118,1,35.7,17.0,189,3350,1
119,1,41.1,18.6,189,3325,2
120,1,36.2,17.2,187,3150,1
121,1,37.7,19.8,198,3500,2
122,1,40.2,17.0,176,3450,1
123,1,41.4,18.5,202,3875,2
124,1,35.2,15.9,186,3050,1
125,1,40.6,19.0,199,4000,2
126,1,38.8,17.6,191,3275,1
127,1,41.5,18.3,195,4300,2
128,1,39.0,17.1,191,3050,1
